version,dataset,max_depth,cv_time_ms,mean_cv_accuracy,std_cv_accuracy,fold1_acc,fold2_acc,fold3_acc,fold4_acc
parallel_cv,cancer,1,3.7220,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
parallel_cv,cancer,2,504.1510,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
parallel_cv,cancer,3,326.6290,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
parallel_cv,cancer,4,373.6010,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
parallel_cv,cancer,5,306.5390,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
parallel_cv,cancer,10,317.5550,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
parallel_cv,cancer,15,354.5390,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
parallel_cv,cancer,20,326.5250,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
parallel_cv,hmeq,1,79.9710,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175
parallel_cv,hmeq,2,2444.6300,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175
parallel_cv,hmeq,3,1953.8540,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175
parallel_cv,hmeq,4,1936.4240,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175
parallel_cv,hmeq,5,2082.2650,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175
parallel_cv,hmeq,10,2150.0490,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175
parallel_cv,hmeq,15,2086.2650,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175
parallel_cv,hmeq,20,2033.0210,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175

