version,dataset,max_depth,cv_time_ms,mean_cv_accuracy,std_cv_accuracy,fold1_acc,fold2_acc,fold3_acc,fold4_acc
parallel_cv,cancer,1,8.9000,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
parallel_cv,cancer,2,915.6270,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
parallel_cv,cancer,3,1391.8620,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
parallel_cv,cancer,4,863.3970,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
parallel_cv,cancer,5,1482.8220,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
parallel_cv,cancer,10,879.5360,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
parallel_cv,cancer,15,1348.8690,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
parallel_cv,cancer,20,932.1380,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225
parallel_cv,hmeq,1,240.9310,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175
parallel_cv,hmeq,2,3282.5790,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175
parallel_cv,hmeq,3,3273.9350,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175
parallel_cv,hmeq,4,3248.0500,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175
parallel_cv,hmeq,5,3336.0790,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175
parallel_cv,hmeq,10,3363.7790,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175
parallel_cv,hmeq,15,3363.8820,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175
parallel_cv,hmeq,20,2701.4370,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175
