version,dataset,max_depth,cv_training_time_ms,mean_cv_accuracy,std_cv_accuracy,fold1_acc,fold2_acc,fold3_acc,fold4_acc,warmup_runs,measurement_runs
parallel_cv,cancer,1,4.4830,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225,1,1
parallel_cv,cancer,2,362.6920,0.5999,0.0494,0.6596,0.5957,0.6203,0.5241,1,1
parallel_cv,cancer,3,658.6250,0.5853,0.0366,0.6330,0.5319,0.5775,0.5989,1,1
parallel_cv,cancer,4,888.1200,0.6400,0.0270,0.6809,0.6117,0.6471,0.6203,1,1
parallel_cv,cancer,5,993.9730,0.6707,0.0326,0.7021,0.6170,0.6898,0.6738,1,1
parallel_cv,cancer,6,1141.1690,0.6761,0.0379,0.6862,0.6117,0.7059,0.7005,1,1
parallel_cv,cancer,7,1288.7160,0.6653,0.0474,0.7234,0.5957,0.6898,0.6524,1,1
parallel_cv,cancer,8,1333.9330,0.6693,0.0232,0.7074,0.6489,0.6684,0.6524,1,1
parallel_cv,cancer,10,1445.6460,0.6760,0.0232,0.7128,0.6489,0.6684,0.6738,1,1
parallel_cv,cancer,12,1629.9980,0.6760,0.0195,0.7074,0.6543,0.6684,0.6738,1,1
parallel_cv,cancer,15,1537.0050,0.6773,0.0195,0.7074,0.6543,0.6684,0.6791,1,1
parallel_cv,cancer,20,1577.5460,0.6773,0.0195,0.7074,0.6543,0.6684,0.6791,1,1
parallel_cv,hmeq,1,58.2070,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175,1,1
parallel_cv,hmeq,2,1525.2370,0.9283,0.0128,0.9176,0.9501,0.9245,0.9210,1,1
parallel_cv,hmeq,3,2887.7010,0.9327,0.0096,0.9246,0.9489,0.9303,0.9268,1,1
parallel_cv,hmeq,4,4213.8610,0.9364,0.0090,0.9281,0.9512,0.9361,0.9303,1,1
parallel_cv,hmeq,5,5764.5360,0.9376,0.0090,0.9304,0.9524,0.9373,0.9303,1,1
parallel_cv,hmeq,6,6789.3670,0.9370,0.0073,0.9304,0.9489,0.9373,0.9315,1,1
parallel_cv,hmeq,7,8117.9600,0.9393,0.0080,0.9304,0.9524,0.9373,0.9373,1,1
parallel_cv,hmeq,8,9331.2850,0.9396,0.0089,0.9339,0.9547,0.9326,0.9373,1,1
parallel_cv,hmeq,10,11320.3430,0.9399,0.0075,0.9304,0.9512,0.9408,0.9373,1,1
parallel_cv,hmeq,12,13094.9850,0.9405,0.0066,0.9316,0.9501,0.9408,0.9396,1,1
parallel_cv,hmeq,15,15279.2620,0.9396,0.0074,0.9316,0.9501,0.9338,0.9431,1,1
parallel_cv,hmeq,20,16165.7430,0.9341,0.0059,0.9258,0.9408,0.9315,0.9384,1,1
