version,dataset,max_depth,cv_training_time_ms,mean_cv_accuracy,std_cv_accuracy,fold1_acc,fold2_acc,fold3_acc,fold4_acc,warmup_runs,measurement_runs
parallel_cv,cancer,1,2.8780,0.5119,0.0519,0.5426,0.5479,0.5348,0.4225,1,1
parallel_cv,cancer,2,195.3500,0.5999,0.0494,0.6596,0.5957,0.6203,0.5241,1,1
parallel_cv,cancer,3,394.2730,0.5853,0.0366,0.6330,0.5319,0.5775,0.5989,1,1
parallel_cv,cancer,4,522.0020,0.6400,0.0270,0.6809,0.6117,0.6471,0.6203,1,1
parallel_cv,cancer,5,576.6690,0.6707,0.0326,0.7021,0.6170,0.6898,0.6738,1,1
parallel_cv,cancer,6,661.9950,0.6761,0.0379,0.6862,0.6117,0.7059,0.7005,1,1
parallel_cv,cancer,7,763.2980,0.6653,0.0474,0.7234,0.5957,0.6898,0.6524,1,1
parallel_cv,cancer,8,766.8860,0.6693,0.0232,0.7074,0.6489,0.6684,0.6524,1,1
parallel_cv,cancer,10,834.3240,0.6760,0.0232,0.7128,0.6489,0.6684,0.6738,1,1
parallel_cv,cancer,12,922.5890,0.6760,0.0195,0.7074,0.6543,0.6684,0.6738,1,1
parallel_cv,cancer,15,890.7560,0.6773,0.0195,0.7074,0.6543,0.6684,0.6791,1,1
parallel_cv,cancer,20,865.4780,0.6773,0.0195,0.7074,0.6543,0.6684,0.6791,1,1
parallel_cv,hmeq,1,33.3340,0.9126,0.0179,0.8933,0.9396,0.9001,0.9175,1,1
parallel_cv,hmeq,2,867.9200,0.9283,0.0128,0.9176,0.9501,0.9245,0.9210,1,1
parallel_cv,hmeq,3,1622.5540,0.9327,0.0096,0.9246,0.9489,0.9303,0.9268,1,1
parallel_cv,hmeq,4,2435.3610,0.9364,0.0090,0.9281,0.9512,0.9361,0.9303,1,1
parallel_cv,hmeq,5,3205.6080,0.9376,0.0090,0.9304,0.9524,0.9373,0.9303,1,1
parallel_cv,hmeq,6,3819.9240,0.9370,0.0073,0.9304,0.9489,0.9373,0.9315,1,1
parallel_cv,hmeq,7,4613.1870,0.9393,0.0080,0.9304,0.9524,0.9373,0.9373,1,1
parallel_cv,hmeq,8,5091.5840,0.9396,0.0089,0.9339,0.9547,0.9326,0.9373,1,1
parallel_cv,hmeq,10,6479.0930,0.9399,0.0075,0.9304,0.9512,0.9408,0.9373,1,1
parallel_cv,hmeq,12,7369.2860,0.9405,0.0066,0.9316,0.9501,0.9408,0.9396,1,1
parallel_cv,hmeq,15,8768.8540,0.9396,0.0074,0.9316,0.9501,0.9338,0.9431,1,1
parallel_cv,hmeq,20,9331.5340,0.9341,0.0059,0.9258,0.9408,0.9315,0.9384,1,1
